id,status,start_time,away_team_id,home_team_id,winning_team_id,league_name,season,attendance,boxscore.total_away_points,boxscore.total_home_points,boxscore.total_away_firsthalf_points,boxscore.total_home_firsthalf_points,boxscore.total_away_secondhalf_points,boxscore.total_home_secondhalf_points,game_id,ml_away,ml_home,spread_away,spread_home,spread_away_line,spread_home_line,over,under,draw,total,away_total,away_over,away_under,home_total,home_over,home_under,ml_home_public,ml_away_public,spread_home_public,spread_away_public,total_under_public,total_over_public,ml_home_money,ml_away_money,spread_home_money,spread_away_money,total_over_money,total_under_money,num_bets,book_id,type,inserted,home_team,away_team,date_scraped
175304,complete,2023-01-04T13:30:00.000Z,1374,1195,,seriea,2022,0,1.0,1.0,1.0,0.0,0.0,1.0,175304,487.0,-167.0,0.5,-0.5,122.0,-175.0,105.0,-135.0,267.0,2.5,0.5,-145.0,107.0,1.0,-245.0,176.0,90.0,10.0,,,80.0,20.0,,,,,2.0,98.0,1318.0,15,game,2023-01-04T13:34:15.01692+00:00,Torino FC,Hellas Verona F.C.,2023-02-20 02:01:45.718540
175305,complete,2023-01-04T13:30:00.000Z,1177,2111,,seriea,2022,0,2.0,2.0,0.0,2.0,2.0,0.0,175305,-145.0,365.0,-0.5,0.5,-150.0,110.0,-138.0,112.0,280.0,2.5,0.5,-900.0,500.0,0.5,-235.0,175.0,,,,,,,,,,,,,2027.0,15,game,2023-01-04T15:34:38.889934+00:00,Spezia,Atalanta BC,2023-02-20 02:01:45.718540
175302,complete,2023-01-04T15:30:00.000Z,1187,2022,2022.0,seriea,2022,0,1.0,2.0,1.0,0.0,0.0,2.0,175302,105.0,272.0,-0.5,0.5,105.0,-140.0,123.0,-151.0,215.0,2.5,0.5,-425.0,290.0,0.5,-210.0,155.0,,,,,,,,,,,,,1165.0,15,game,2023-01-04T17:34:09.749169+00:00,U.S. Lecce,SS Lazio,2023-02-20 02:01:45.718540
175303,complete,2023-01-04T15:30:00.000Z,1178,1192,1192.0,seriea,2022,0,0.0,1.0,0.0,1.0,0.0,0.0,175303,440.0,-150.0,0.5,-0.5,117.0,-162.0,120.0,-145.0,260.0,2.5,0.5,-140.0,110.0,0.5,-650.0,400.0,,,,,25.0,75.0,,,,,,,1825.0,15,game,2023-01-04T17:30:40.604825+00:00,AS Roma,Bologna FC,2023-02-20 02:01:45.718540
175300,complete,2023-01-04T17:30:00.000Z,3396,1183,,seriea,2022,0,1.0,1.0,0.0,1.0,1.0,0.0,175300,330.0,-122.0,0.5,-0.5,-107.0,-132.0,-105.0,-116.0,250.0,2.5,0.5,-205.0,152.0,1.0,-234.0,168.0,,,,,50.0,50.0,,,,,,,1825.0,15,game,2023-01-04T17:30:03.639286+00:00,ACF Fiorentina,Monza,2023-02-20 02:01:45.718540
175301,complete,2023-01-04T17:30:00.000Z,1186,3428,1186.0,seriea,2022,0,1.0,0.0,0.0,0.0,1.0,0.0,175301,-127.0,370.0,-0.5,0.5,-135.0,-100.0,107.0,-132.0,237.0,2.5,0.5,-600.0,390.0,0.5,-180.0,140.0,,,,,55.0,45.0,,,,,31.0,69.0,3193.0,15,game,2023-01-04T19:28:26.544208+00:00,Cremonese,Juventus Turin,2023-02-20 02:01:45.718540
175235,complete,2023-01-04T19:30:00.000Z,3364,1111,3364.0,epl,2022,0,1.0,0.0,1.0,0.0,0.0,0.0,175235,217.0,135.0,0.5,-0.5,-170.0,130.0,115.0,-140.0,225.0,2.5,1.0,-116.0,-111.0,1.5,130.0,-175.0,52.0,48.0,,,50.0,50.0,,,,,19.0,81.0,3041.0,15,game,2023-01-04T21:49:54.43445+00:00,Southampton FC,Nottingham Forest,2023-02-20 02:01:45.718540
175238,complete,2023-01-04T19:45:00.000Z,1118,2075,,epl,2022,0,2.0,2.0,1.0,1.0,1.0,1.0,175238,147.0,185.0,-0.5,0.5,140.0,-190.0,-105.0,-118.0,230.0,2.5,1.0,-158.0,122.0,1.0,-139.0,107.0,59.0,41.0,,,33.0,67.0,,,,,99.0,1.0,4309.0,15,game,2023-01-04T21:49:41.813989+00:00,Leeds United,West Ham United FC,2023-02-20 02:01:45.718540
175298,complete,2023-01-04T19:45:00.000Z,1182,1196,,seriea,2022,0,1.0,1.0,1.0,0.0,0.0,1.0,175298,400.0,-152.0,0.5,-0.5,115.0,-155.0,-134.0,108.0,290.0,2.5,0.5,-220.0,165.0,0.5,-900.0,500.0,,,,,,,,,,,,,811.0,15,game,2023-01-04T21:49:47.333076+00:00,Udinese Calcio,Empoli FC,2023-02-20 02:01:45.718540
175299,complete,2023-01-04T19:45:00.000Z,1189,1185,1185.0,seriea,2022,0,0.0,1.0,0.0,0.0,0.0,1.0,175299,195.0,135.0,0.5,-0.5,-172.0,125.0,-150.0,120.0,230.0,2.5,1.0,-172.0,128.0,1.0,-212.0,153.0,,,,,11.0,89.0,,,,,,,2484.0,15,game,2023-01-04T19:49:32.181134+00:00,FC Internazionale Milano,SSC Napoli,2023-02-20 02:01:45.718540
